#scan;iMeasureCycle=1;iMux=0;time=0.133;N=482;LocalTime=31/10/2023 13:26:53;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;IDrain^1/2
37.9999;1.11E-10;47.964959;0.999999;3.39E-07;47.964959;;0.000582237
37.5;7.85E-11;48.115135;0.999999;3.19E-07;48.115135;;0.000564801
36.9999;9.05E-11;48.265256;0.999999;3.02E-07;48.265256;;0.000549545
36.5;8.24E-11;48.41539;1;2.84E-07;48.41539;;0.000532917
36;5.56E-11;48.567763;1;2.68E-07;48.567763;;0.000517687
35.5;3.23E-11;48.718008;0.999999;2.48E-07;48.718008;;0.000497996
34.9999;7.05E-12;48.868044;0.999999;2.31E-07;48.868044;;0.000480625
34.5;-6.39E-11;49.018137;0.999999;2.18E-07;49.018137;;0.000466905
34;-1.19E-10;49.168347;1;2.02E-07;49.168347;;0.000449444
33.5;-1.54E-10;49.318426;1;1.90E-07;49.318426;;0.00043589
32.9999;-9.70E-11;49.507458;1;1.75E-07;49.507458;;0.00041833
32.4999;-2.32E-10;49.657624;1;1.59E-07;49.657624;;0.000398748
31.9999;-2.94E-10;49.807683;1;1.49E-07;49.807683;;0.000386005
31.4999;-2.44E-10;49.981919;0.999999;1.35E-07;49.981919;;0.000367423
30.9999;-3.43E-10;50.132067;1;1.24E-07;50.132067;;0.000352136
30.4999;-3.93E-10;50.282218;1;1.16E-07;50.282218;;0.000340588
30;-3.82E-10;50.43221;1;1.03E-07;50.43221;;0.000320936
29.4999;-3.81E-10;50.601793;0.999999;9.38E-08;50.601793;;0.000306268
29;-4.09E-10;50.751965;1;8.53E-08;50.751965;;0.000292062
28.5;-4.10E-10;50.919239;1.000008;7.79E-08;50.919239;;0.000279106
27.9999;-3.71E-10;51.092111;0.999992;6.72E-08;51.092111;;0.00025923
27.5;-4.15E-10;51.262523;1.00001;5.97E-08;51.262523;;0.000244336
26.9999;-4.02E-10;51.432886;0.999994;5.34E-08;51.432886;;0.000231084
26.4999;-3.97E-10;51.624755;0.999993;4.94E-08;51.624755;;0.000222261
25.9999;-4.45E-10;51.774924;0.999993;4.34E-08;51.774924;;0.000208327
25.5;-4.37E-10;51.9452;1.000001;3.87E-08;51.9452;;0.000196723
24.9999;-3.98E-10;52.126037;0.999995;3.45E-08;52.126037;;0.000185742
24.4999;-4.52E-10;52.276192;0.999988;3.04E-08;52.276192;;0.000174356
23.9999;-4.27E-10;52.446554;0.999997;2.66E-08;52.446554;;0.000163095
23.5;-4.05E-10;52.627478;0.999999;2.33E-08;52.627478;;0.000152643
22.9999;-4.44E-10;52.777606;0.999994;2.03E-08;52.777606;;0.000142478
22.4999;-4.65E-10;52.927596;0.999991;1.79E-08;52.927596;;0.000133791
21.9999;-4.60E-10;53.077825;1.000002;1.62E-08;53.077825;;0.000127279
21.4999;-4.82E-10;53.227929;0.999998;1.39E-08;53.227929;;0.000117898
21;-4.79E-10;53.37777;0.999999;1.26E-08;53.37777;;0.00011225
20.4999;-4.83E-10;53.527624;0.999997;1.10E-08;53.527624;;0.000104881
20;-5.32E-10;53.67749;1.000002;9.29E-09;53.67749;;9.63846E-05
19.5;-5.11E-10;53.842128;0.999996;8.32E-09;53.842128;;9.1214E-05
19;-4.40E-10;54.050037;1.000001;7.05E-09;54.050037;;8.39643E-05
18.4999;-4.80E-10;54.226269;0.999998;5.70E-09;54.226269;;7.54983E-05
17.9999;-4.70E-10;54.402413;1;5.30E-09;54.402413;;7.28011E-05
17.5;-4.57E-10;54.578594;0.999998;4.50E-09;54.578594;;6.7082E-05
17;-4.58E-10;54.755843;0.999999;3.82E-09;54.755843;;6.18061E-05
16.4999;-4.83E-10;54.931857;0.999998;3.47E-09;54.931857;;5.89067E-05
