#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=31/10/2023 11:52:45;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2(A^1/2)
34.4999;1.93E-10;52.917153;1;1.85E-12;52.917153;;;1.36015E-06
34;1.84E-10;53.093511;0.999999;2.35E-12;53.093511;;;1.53297E-06
33.5;1.78E-10;53.269853;0.999999;1.63E-12;53.269853;;;1.27671E-06
33;1.77E-10;53.446104;1;-2.70E-13;53.446104;;;0
32.4999;1.69E-10;53.625008;1;1.21E-12;53.625008;;;0.0000011
31.9999;1.46E-10;53.801427;0.999999;-4.70E-13;53.801427;;;0
31.5;1.19E-10;54.001441;1;3.84E-12;54.001441;;;1.95959E-06
30.9999;8.13E-11;54.17788;0.999999;2.68E-12;54.17788;;;1.63707E-06
30.5;4.86E-11;54.354089;0.999999;1.50E-12;54.354089;;;1.22474E-06
30;8.45E-11;54.564774;1.000001;8.80E-13;54.564774;;;9.38083E-07
29.4999;5.81E-11;54.741216;0.999999;6.00E-14;54.741216;;;2.44949E-07
29;5.34E-12;54.917445;0.999999;7.70E-13;54.917445;;;8.77496E-07
28.4999;-4.44E-11;55.093735;0.999999;2.74E-12;55.093735;;;1.65529E-06
28;-5.28E-11;55.270142;1;1.03E-12;55.270142;;;1.01489E-06
27.4999;-4.95E-11;55.446368;1;1.20E-12;55.446368;;;1.09545E-06
27;-6.52E-11;55.624767;0.999999;1.44E-12;55.624767;;;0.0000012
26.5;-1.06E-10;55.801257;0.999999;2.10E-13;55.801257;;;4.58258E-07
26;-1.10E-10;55.977488;0.999999;1.12E-12;55.977488;;;1.0583E-06
25.5;-1.26E-10;56.163565;1;3.25E-12;56.163565;;;1.80278E-06
25;-1.31E-10;56.33972;0.999999;1.17E-12;56.33972;;;1.08167E-06
24.4999;-1.32E-10;56.545521;0.999999;1.31E-12;56.545521;;;1.14455E-06
23.9999;-1.40E-10;56.721785;1;2.28E-12;56.721785;;;1.50997E-06
23.4999;-1.85E-10;56.89809;0.999999;2.02E-12;56.89809;;;1.42127E-06
22.9999;-1.55E-10;57.075521;1;6.00E-13;57.075521;;;7.74597E-07
22.5;-1.95E-10;57.2517;1;6.20E-13;57.2517;;;7.87401E-07
22;-2.19E-10;57.427973;1;2.24E-12;57.427973;;;1.49666E-06
21.4999;-1.95E-10;57.604249;0.999999;2.17E-12;57.604249;;;1.47309E-06
21;-2.26E-10;57.780427;0.999999;4.39E-12;57.780427;;;2.09523E-06
20.4999;-2.19E-10;57.956524;0.999999;1.56E-12;57.956524;;;1.249E-06
20;-2.49E-10;58.133053;0.999999;1.96E-12;58.133053;;;0.0000014
19.5;-2.45E-10;58.309052;0.999999;-1.00E-12;58.309052;;;0
19;-2.60E-10;58.485091;1;1.98E-12;58.485091;;;1.40712E-06
18.5;-2.71E-10;58.670405;0.999999;7.70E-13;58.670405;;;8.77496E-07
17.9999;-2.63E-10;58.846459;0.999999;-2.00E-13;58.846459;;;0
17.5;-2.60E-10;59.057187;0.999999;1.39E-12;59.057187;;;1.17898E-06
17;-2.84E-10;59.233337;0.999999;2.00E-13;59.233337;;;4.47214E-07
16.5;-2.96E-10;59.409568;1;2.93E-12;59.409568;;;1.71172E-06
15.9999;-3.18E-10;59.586972;0.999999;4.35E-12;59.586972;;;2.08567E-06
15.4999;-3.11E-10;59.76318;0.999999;1.64E-12;59.76318;;;1.28062E-06
14.9999;-3.15E-10;59.939253;0.999999;2.80E-12;59.939253;;;1.67332E-06
14.4999;-3.28E-10;60.115536;1;3.41E-12;60.115536;;;1.84662E-06
