File Name: 07_Sample14_device4_trfsat_dark_final.dat;;;;;;;;;
File Data: 15/11/2023;13:00:03;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 20;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
9.05E+04;1.00E+00;3.72E-05;4.00E+01;3.05E-10;;;;0.000037231;3.047E-10
9.10E+04;1.00E+00;3.76E-05;4.05E+01;2.62E-10;;;;0.000037596;2.6174E-10
9.15E+04;1.00E+00;3.79E-05;4.10E+01;5.58E-10;;;;0.000037924;5.5785E-10
9.20E+04;1.00E+00;3.83E-05;4.15E+01;3.16E-10;;;;0.000038315;3.1646E-10
9.25E+04;1.00E+00;3.87E-05;4.20E+01;3.07E-10;;;;0.000038659;3.07E-10
9.30E+04;1.00E+00;3.91E-05;4.25E+01;3.06E-10;;;;0.000039057;3.0594E-10
9.35E+04;1.00E+00;3.94E-05;4.30E+01;3.05E-10;;;;0.000039388;3.0539E-10
9.40E+04;1.00E+00;3.97E-05;4.35E+01;3.04E-10;;;;0.000039725;3.0353E-10
9.45E+04;1.00E+00;4.01E-05;4.40E+01;3.04E-10;;;;0.000040064;3.0435E-10
9.50E+04;1.00E+00;4.05E-05;4.45E+01;3.08E-10;;;;0.000040479;3.0789E-10
9.55E+04;1.00E+00;4.08E-05;4.50E+01;3.08E-10;;;;0.000040812;3.0754E-10
9.60E+04;1.00E+00;4.12E-05;4.55E+01;3.07E-10;;;;0.000041174;3.0722E-10
9.65E+04;1.00E+00;4.15E-05;4.60E+01;3.10E-10;;;;0.000041544;3.0967E-10
9.70E+04;1.00E+00;4.19E-05;4.65E+01;3.06E-10;;;;0.000041905;3.0586E-10
9.75E+04;1.00E+00;4.22E-05;4.70E+01;3.04E-10;;;;0.000042241;3.0403E-10
9.80E+04;1.00E+00;4.26E-05;4.75E+01;3.09E-10;;;;0.000042599;3.0886E-10
9.85E+04;1.00E+00;4.30E-05;4.80E+01;3.04E-10;;;;0.000042985;3.0449E-10
9.90E+04;1.00E+00;4.33E-05;4.85E+01;3.09E-10;;;;0.000043334;3.0916E-10
9.95E+04;1.00E+00;4.36E-05;4.90E+01;3.07E-10;;;;0.000043644;3.0703E-10
1.00E+05;1.00E+00;4.40E-05;4.95E+01;3.11E-10;;;;0.000043996;3.1051E-10
1.01E+05;1.00E+00;4.44E-05;5.00E+01;3.04E-10;;;;0.000044367;3.0366E-10
1.01E+05;1.00E+00;4.47E-05;5.05E+01;3.06E-10;;;;0.00004474;3.0573E-10
1.02E+05;1.00E+00;4.44E-05;5.00E+01;-2.44E-10;;;;0.000044418;2.4393E-10
1.02E+05;1.00E+00;4.40E-05;4.95E+01;-2.84E-10;;;;0.000044037;2.8416E-10
1.03E+05;1.00E+00;4.36E-05;4.90E+01;-2.83E-10;;;;0.000043606;2.8321E-10
1.03E+05;1.00E+00;4.32E-05;4.85E+01;-2.90E-10;;;;0.000043199;2.8971E-10
1.04E+05;1.00E+00;4.29E-05;4.80E+01;-2.93E-10;;;;0.000042852;2.9344E-10
1.04E+05;1.00E+00;4.24E-05;4.75E+01;-2.90E-10;;;;0.000042422;2.9049E-10
1.05E+05;1.00E+00;4.20E-05;4.70E+01;-2.95E-10;;;;0.000041992;2.9468E-10
1.05E+05;1.00E+00;4.16E-05;4.65E+01;-2.94E-10;;;;0.000041636;2.9427E-10
1.06E+05;1.00E+00;4.13E-05;4.60E+01;-3.03E-10;;;;0.000041251;3.0303E-10
1.06E+05;1.00E+00;4.08E-05;4.55E+01;-2.87E-10;;;;0.000040798;2.8661E-10
1.07E+05;1.00E+00;4.05E-05;4.50E+01;-5.37E-10;;;;0.00004048;5.3716E-10
1.07E+05;1.00E+00;4.01E-05;4.45E+01;-3.04E-10;;;;0.000040079;3.0427E-10
1.08E+05;1.00E+00;3.97E-05;4.40E+01;-3.06E-10;;;;0.000039672;3.0616E-10
1.08E+05;1.00E+00;3.93E-05;4.35E+01;-3.04E-10;;;;0.000039267;3.0355E-10
1.09E+05;1.00E+00;3.89E-05;4.30E+01;-3.03E-10;;;;0.000038872;3.0319E-10
1.09E+05;1.00E+00;3.85E-05;4.25E+01;-3.04E-10;;;;0.000038489;3.0423E-10
1.10E+05;1.00E+00;3.81E-05;4.20E+01;-3.11E-10;;;;0.000038137;3.1105E-10
1.10E+05;1.00E+00;3.77E-05;4.15E+01;-3.10E-10;;;;0.000037717;3.1026E-10
1.11E+05;1.00E+00;3.74E-05;4.10E+01;-3.06E-10;;;;0.000037364;3.0568E-10
1.11E+05;1.00E+00;3.70E-05;4.05E+01;-3.09E-10;;;;0.000037008;3.0856E-10
1.12E+05;1.00E+00;3.66E-05;4.00E+01;-3.05E-10;;;;0.000036606;3.0463E-10
1.12E+05;1.00E+00;3.62E-05;3.95E+01;-3.09E-10;;;;0.000036234;3.0881E-10
1.13E+05;1.00E+00;3.59E-05;3.90E+01;-3.14E-10;;;;0.000035892;3.1404E-10
1.13E+05;1.00E+00;3.55E-05;3.85E+01;-3.07E-10;;;;0.00003552;3.0717E-10
1.14E+05;1.00E+00;3.52E-05;3.80E+01;-3.08E-10;;;;0.000035153;3.0848E-10
1.14E+05;1.00E+00;3.48E-05;3.75E+01;-3.07E-10;;;;0.000034796;3.0652E-10
1.15E+05;1.00E+00;3.44E-05;3.70E+01;-3.07E-10;;;;0.000034389;3.0729E-10
1.15E+05;1.00E+00;3.40E-05;3.65E+01;-3.11E-10;;;;0.000034048;3.1072E-10
1.16E+05;1.00E+00;3.37E-05;3.60E+01;-3.09E-10;;;;0.000033676;3.0871E-10
1.16E+05;1.00E+00;3.33E-05;3.55E+01;-3.12E-10;;;;0.000033347;3.1151E-10
1.17E+05;1.00E+00;3.30E-05;3.50E+01;-3.09E-10;;;;0.000032976;3.0883E-10
