File Name: 27_Sample1_device3_trfSat_dark_final.dat;;;;;;;;;
File Data: 17/11/2023;13:17:35;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
1.05E+05;1.00E+00;7.72E-05;5.00E+01;-7.62E-11;;;;0.000077228;7.6181E-11
1.06E+05;1.00E+00;7.62E-05;4.95E+01;-8.12E-11;;;;0.000076229;8.1204E-11
1.06E+05;1.00E+00;7.55E-05;4.90E+01;-8.32E-11;;;;0.000075478;8.3233E-11
1.07E+05;1.00E+00;7.46E-05;4.85E+01;-6.50E-11;;;;0.000074588;6.5008E-11
1.07E+05;1.00E+00;7.37E-05;4.80E+01;-2.95E-10;;;;0.000073738;2.9484E-10
1.08E+05;1.00E+00;7.28E-05;4.75E+01;-9.19E-11;;;;0.000072806;9.1908E-11
1.08E+05;1.00E+00;7.19E-05;4.70E+01;-9.42E-11;;;;0.000071942;9.4165E-11
1.09E+05;1.00E+00;7.11E-05;4.65E+01;-9.39E-11;;;;0.000071074;9.3939E-11
1.09E+05;1.00E+00;7.02E-05;4.60E+01;-9.42E-11;;;;0.000070236;9.4235E-11
1.10E+05;1.00E+00;6.94E-05;4.55E+01;-9.57E-11;;;;0.000069373;9.5654E-11
1.10E+05;1.00E+00;6.84E-05;4.50E+01;-9.75E-11;;;;0.000068436;9.7531E-11
1.11E+05;1.00E+00;6.76E-05;4.45E+01;-9.78E-11;;;;0.000067578;9.7825E-11
1.11E+05;1.00E+00;6.67E-05;4.40E+01;-9.91E-11;;;;0.000066725;9.9087E-11
1.12E+05;1.00E+00;6.58E-05;4.35E+01;-1.00E-10;;;;0.000065759;1.0041E-10
1.12E+05;1.00E+00;6.49E-05;4.30E+01;-1.01E-10;;;;0.00006494;1.0079E-10
1.13E+05;1.00E+00;6.41E-05;4.25E+01;-1.02E-10;;;;0.000064119;1.0173E-10
1.13E+05;1.00E+00;6.32E-05;4.20E+01;-1.02E-10;;;;0.000063231;1.0217E-10
