File Name: 37_Sample12_device3_trfSat_dark.dat;;;;;;;;;
File Data: 15/12/2023;15:40:04;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
9.20E+04;1.00E+00;1.91E-10;-2.40E+01;-5.28E-10;;;-2.40E+01;1.9097E-10;5.2798E-10
9.25E+04;1.00E+00;7.22E-11;-2.50E+01;-4.34E-09;;;-2.50E+01;7.217E-11;4.3425E-09
9.30E+04;1.00E+00;1.90E-10;-2.60E+01;-1.22E-07;;;-2.60E+01;1.9047E-10;1.2219E-07
9.35E+04;1.00E+00;3.02E-10;-2.70E+01;-1.92E-08;;;-2.70E+01;3.0229E-10;1.9201E-08
9.40E+04;1.00E+00;2.61E-10;-2.80E+01;-1.29E-08;;;-2.80E+01;2.6147E-10;1.2903E-08
9.45E+04;1.00E+00;1.96E-10;-2.90E+01;-1.26E-08;;;-2.90E+01;1.9596E-10;1.2628E-08
9.50E+04;1.00E+00;2.17E-10;-3.00E+01;-2.68E-08;;;-3.00E+01;2.1701E-10;2.6782E-08
9.55E+04;1.00E+00;1.43E-10;-3.10E+01;-1.42E-08;;;-3.10E+01;1.4297E-10;1.4224E-08
9.60E+04;1.00E+00;2.17E-10;-3.20E+01;-2.68E-08;;;-3.20E+01;2.1704E-10;2.6828E-08
9.65E+04;1.00E+00;3.23E-10;-3.30E+01;-2.77E-08;;;-3.30E+01;3.2337E-10;2.7721E-08
9.70E+04;1.00E+00;1.72E-10;-3.40E+01;-7.90E-09;;;-3.40E+01;1.7163E-10;7.8976E-09
9.75E+04;1.00E+00;3.23E-10;-3.50E+01;-2.00E-08;;;-3.50E+01;3.2328E-10;2.0046E-08
9.80E+04;1.00E+00;2.66E-10;-3.60E+01;-4.38E-09;;;-3.60E+01;2.6591E-10;4.3816E-09
9.85E+04;1.00E+00;2.86E-10;-3.70E+01;-7.31E-09;;;-3.70E+01;2.8633E-10;7.3076E-09
