File Name: 17_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;
File Data: 15/12/2023;12:26:48;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
7.35E+04;1.00E+00;3.71E-09;1.40E+01;-2.73E-10;;;1.40E+01;3.7058E-09;2.7267E-10
7.40E+04;1.00E+00;2.03E-09;1.30E+01;-2.48E-10;;;1.30E+01;2.0336E-09;2.4836E-10
7.45E+04;1.00E+00;1.04E-09;1.20E+01;-2.41E-10;;;1.20E+01;1.0352E-09;2.4132E-10
7.50E+04;1.00E+00;4.51E-10;1.10E+01;-2.56E-10;;;1.10E+01;4.5139E-10;2.5567E-10
7.55E+04;1.00E+00;1.89E-10;1.00E+01;-2.71E-10;;;1.00E+01;1.8869E-10;2.7051E-10
7.60E+04;1.00E+00;1.06E-10;9.00E+00;-3.97E-10;;;9.00E+00;1.0595E-10;3.9661E-10
7.65E+04;1.00E+00;1.01E-10;8.00E+00;-4.17E-10;;;8.00E+00;1.0082E-10;4.1656E-10
7.70E+04;1.00E+00;1.06E-10;7.00E+00;-3.30E-10;;;7.00E+00;1.059E-10;3.3038E-10
7.75E+04;1.00E+00;1.25E-10;6.00E+00;-3.57E-10;;;6.00E+00;1.2511E-10;3.5733E-10
7.80E+04;1.00E+00;1.41E-10;5.00E+00;-3.70E-10;;;5.00E+00;1.4122E-10;3.7009E-10
7.85E+04;1.00E+00;1.64E-10;4.00E+00;-3.99E-10;;;4.00E+00;1.6443E-10;3.9911E-10
7.90E+04;1.00E+00;1.82E-10;3.00E+00;-3.99E-10;;;3.00E+00;1.8244E-10;3.9932E-10
7.95E+04;1.00E+00;1.93E-10;2.00E+00;-3.82E-10;;;2.00E+00;1.9299E-10;3.8211E-10
8.00E+04;1.00E+00;1.94E-10;1.00E+00;-3.72E-10;;;1.00E+00;1.9392E-10;3.723E-10
8.05E+04;1.00E+00;1.91E-10;0.00E+00;-3.69E-10;;;0.00E+00;1.9138E-10;3.6878E-10
8.10E+04;1.00E+00;1.98E-10;-1.00E+00;-3.71E-10;;;-1.00E+00;1.978E-10;3.7126E-10
8.15E+04;1.00E+00;1.99E-10;-2.00E+00;-3.79E-10;;;-2.00E+00;1.9928E-10;3.7856E-10
8.20E+04;1.00E+00;2.01E-10;-3.00E+00;-3.73E-10;;;-3.00E+00;2.0149E-10;3.7255E-10
8.25E+04;1.00E+00;2.13E-10;-4.00E+00;-3.85E-10;;;-4.00E+00;2.1287E-10;3.8481E-10
8.30E+04;1.00E+00;2.11E-10;-5.00E+00;-3.84E-10;;;-5.00E+00;2.107E-10;3.8386E-10
8.35E+04;1.00E+00;2.13E-10;-6.00E+00;-3.80E-10;;;-6.00E+00;2.1327E-10;3.8019E-10
8.40E+04;1.00E+00;2.22E-10;-7.00E+00;-3.84E-10;;;-7.00E+00;2.2164E-10;3.8402E-10
8.45E+04;1.00E+00;2.25E-10;-8.00E+00;-3.76E-10;;;-8.00E+00;2.2522E-10;3.7575E-10
8.50E+04;1.00E+00;2.33E-10;-9.00E+00;-3.73E-10;;;-9.00E+00;2.3292E-10;3.7314E-10
8.55E+04;1.00E+00;2.29E-10;-1.00E+01;-3.68E-10;;;-1.00E+01;2.2921E-10;3.6763E-10
8.60E+04;1.00E+00;2.30E-10;-1.10E+01;-3.66E-10;;;-1.10E+01;2.3009E-10;3.6612E-10
8.65E+04;1.00E+00;2.31E-10;-1.20E+01;-3.61E-10;;;-1.20E+01;2.3081E-10;3.6109E-10
8.70E+04;1.00E+00;2.30E-10;-1.30E+01;-3.57E-10;;;-1.30E+01;2.3002E-10;3.5672E-10
8.75E+04;1.00E+00;2.30E-10;-1.40E+01;-3.54E-10;;;-1.40E+01;2.299E-10;3.541E-10
8.80E+04;1.00E+00;2.24E-10;-1.50E+01;-3.39E-10;;;-1.50E+01;2.2383E-10;3.3927E-10
8.85E+04;1.00E+00;2.27E-10;-1.60E+01;-3.35E-10;;;-1.60E+01;2.2707E-10;3.3483E-10
8.90E+04;1.00E+00;2.26E-10;-1.70E+01;-3.36E-10;;;-1.70E+01;2.2641E-10;3.3595E-10
8.95E+04;1.00E+00;2.20E-10;-1.80E+01;-3.33E-10;;;-1.80E+01;2.2001E-10;3.3314E-10
9.00E+04;1.00E+00;2.14E-10;-1.90E+01;-3.26E-10;;;-1.90E+01;2.1401E-10;3.2625E-10
9.05E+04;1.00E+00;2.13E-10;-2.00E+01;-3.22E-10;;;-2.00E+01;2.1291E-10;3.224E-10
9.10E+04;1.00E+00;2.11E-10;-2.10E+01;-3.14E-10;;;-2.10E+01;2.1123E-10;3.1377E-10
9.15E+04;1.00E+00;2.25E-10;-2.20E+01;-7.00E-10;;;-2.20E+01;2.2503E-10;7.003E-10
9.20E+04;1.00E+00;2.31E-10;-2.30E+01;-3.49E-10;;;-2.30E+01;2.3088E-10;3.4944E-10
9.25E+04;1.00E+00;2.68E-10;-2.40E+01;-5.83E-10;;;-2.40E+01;2.6793E-10;5.8286E-10
9.30E+04;1.00E+00;2.74E-10;-2.50E+01;-6.93E-10;;;-2.50E+01;2.7355E-10;6.9313E-10
9.35E+04;1.00E+00;3.00E-10;-2.60E+01;-1.03E-09;;;-2.60E+01;3.0027E-10;1.025E-09
9.40E+04;1.00E+00;3.14E-10;-2.70E+01;-1.14E-09;;;-2.70E+01;3.1357E-10;1.1374E-09
9.45E+04;1.00E+00;3.26E-10;-2.80E+01;-1.35E-09;;;-2.80E+01;3.2571E-10;1.3506E-09
9.50E+04;1.00E+00;3.31E-10;-2.90E+01;-1.57E-09;;;-2.90E+01;3.3125E-10;1.5716E-09
9.55E+04;1.00E+00;3.68E-10;-3.00E+01;-1.71E-09;;;-3.00E+01;3.679E-10;1.7098E-09
