#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:43:28;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2)
46;1.26E-09;33.654261;1;4.54E-05;33.654261;;;0.006737952
46.4999;1.24E-09;33.804531;1;4.57E-05;33.804531;;;0.006760178
47;1.25E-09;33.979145;1;4.61E-05;33.979145;;;0.006789698
47.4999;1.28E-09;34.129454;1;4.64E-05;34.129454;;;0.006811755
47.9999;1.23E-09;34.27979;1;4.67E-05;34.27979;;;0.00683374
48.5;1.06E-09;34.430099;1;4.71E-05;34.430099;;;0.006862944
49;1.03E-09;34.597029;1;4.74E-05;34.597029;;;0.006884766
49.5;1.02E-09;34.747627;0.999999;4.77E-05;34.747627;;;0.006906519
50;1.05E-09;34.897805;1;4.81E-05;34.897805;;;0.006935416
50.5;1.10E-09;35.048031;1;4.84E-05;35.048031;;;0.006957011
50.9999;1.15E-09;35.199163;1;4.87E-05;35.199163;;;0.006978539
51.5;1.22E-09;35.349424;1;4.91E-05;35.349424;;;0.007007139
51.9999;1.44E-09;35.509347;1;4.94E-05;35.509347;;;0.007028513
52.4999;1.32E-09;35.659727;1;4.97E-05;35.659727;;;0.007049823
52.9999;1.31E-09;35.809988;1;5.00E-05;35.809988;;;0.007071068
53.4999;1.28E-09;35.984273;1;5.04E-05;35.984273;;;0.007099296
53.9999;1.15E-09;36.134518;1;5.07E-05;36.134518;;;0.007120393
54.4999;1.11E-09;36.284901;1;5.10E-05;36.284901;;;0.007141428
55;1.09E-09;36.435252;1;5.14E-05;36.435252;;;0.007169379
55.4999;1.07E-09;36.60214;1;5.17E-05;36.60214;;;0.007190271
55.9999;1.09E-09;36.752719;1;5.20E-05;36.752719;;;0.007211103
56.4999;1.07E-09;36.903021;1;5.24E-05;36.903021;;;0.007238784
57;1.08E-09;37.053383;1;5.27E-05;37.053383;;;0.007259477
57.4999;1.14E-09;37.204315;1;5.30E-05;37.204315;;;0.00728011
57.9999;1.05E-09;37.354773;1;5.34E-05;37.354773;;;0.00730753
58.4999;1.08E-09;37.514888;1;5.37E-05;37.514888;;;0.007328028
58.9999;1.15E-09;37.665231;1;5.40E-05;37.665231;;;0.007348469
59.5;1.21E-09;37.815604;1;5.44E-05;37.815604;;;0.007375636
60;1.18E-09;37.989443;1;5.47E-05;37.989443;;;0.007395945
60;1.13E-09;38.111836;1;5.47E-05;38.111836;;;0.007395945
59.5;9.89E-10;38.262231;1;5.43E-05;38.262231;;;0.007368853
59;9.48E-10;38.41253;1;5.40E-05;38.41253;;;0.007348469
58.4999;9.18E-10;38.562906;0.999999;5.36E-05;38.562906;;;0.007321202
57.9999;8.92E-10;38.713328;1;5.33E-05;38.713328;;;0.007300685
57.5;8.54E-10;38.863676;1;5.29E-05;38.863676;;;0.007273239
57;8.34E-10;39.018736;1;5.26E-05;39.018736;;;0.007252586
56.4999;7.94E-10;39.169231;1;5.23E-05;39.169231;;;0.007231874
56;7.82E-10;39.319556;1;5.19E-05;39.319556;;;0.007204165
55.5;8.02E-10;39.493085;1;5.16E-05;39.493085;;;0.007183314
55;7.88E-10;39.643373;0.999999;5.12E-05;39.643373;;;0.007155418
54.4999;7.69E-10;39.793983;1;5.09E-05;39.793983;;;0.007134424
54;7.26E-10;39.944174;1;5.05E-05;39.944174;;;0.007106335
53.4999;6.90E-10;40.111024;1;5.02E-05;40.111024;;;0.007085196
53;6.47E-10;40.261434;1;4.98E-05;40.261434;;;0.007056912
52.5;6.30E-10;40.411677;1;4.95E-05;40.411677;;;0.007035624
52;5.93E-10;40.56188;1;4.91E-05;40.56188;;;0.007007139
51.4999;5.76E-10;40.712993;1;4.88E-05;40.712993;;;0.0069857
51;5.57E-10;40.863268;1;4.84E-05;40.863268;;;0.006957011
50.5;5.33E-10;41.023644;1;4.81E-05;41.023644;;;0.006935416
49.9999;5.11E-10;41.173991;1;4.77E-05;41.173991;;;0.006906519
49.4999;4.95E-10;41.324232;1;4.74E-05;41.324232;;;0.006884766
48.9999;4.79E-10;41.498057;1;4.71E-05;41.498057;;;0.006862944
48.5;4.86E-10;41.648294;1;4.67E-05;41.648294;;;0.00683374
47.9999;4.52E-10;41.798645;1;4.64E-05;41.798645;;;0.006811755
47.4999;4.55E-10;41.948887;1;4.60E-05;41.948887;;;0.00678233
47;4.18E-10;42.11612;1;4.57E-05;42.11612;;;0.006760178
46.4999;4.02E-10;42.266472;1;4.53E-05;42.266472;;;0.006730527
46;4.02E-10;42.416735;1;4.50E-05;42.416735;;;0.006708204
45.5;3.82E-10;42.566988;1;4.46E-05;42.566988;;;0.006678323
44.9999;3.66E-10;42.717997;1;4.43E-05;42.717997;;;0.006655825
44.5;3.59E-10;42.868261;1;4.39E-05;42.868261;;;0.006625708
43.9999;3.50E-10;43.028437;1;4.35E-05;43.028437;;;0.006595453
43.4999;3.40E-10;43.178726;1;4.32E-05;43.178726;;;0.006572671
43;3.27E-10;43.328897;1;4.28E-05;43.328897;;;0.006542171
42.4999;3.28E-10;43.519592;1;4.25E-05;43.519592;;;0.006519202
41.9999;3.01E-10;43.669847;1;4.21E-05;43.669847;;;0.006488451
41.5;2.90E-10;43.820103;1;4.18E-05;43.820103;;;0.006465292
40.9999;2.89E-10;44.002997;1;4.14E-05;44.002997;;;0.006434283
40.4999;2.66E-10;44.153311;1;4.10E-05;44.153311;;;0.006403124
